Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
atómlaust mál|na|hk|Eintala||||||||non-atomic measure|||||||
athugun|na|kvk|Eintala||||||||observation|||||||
aðgerð|na|kvk|Eintala|||||||column operation, elementary operation, row operation|operation|||||||
aðgerðartákn|na|hk|Eintala||||||||operation symbol|||||||
aðgerðagreining|na|kvk|Eintala||||||||operations research|||||||
annars stigs nálgun|na||Eintala||||||||parabolic approximation|||||||
aðskilnaður breytistærða|na|kk|Eintala||||||||partitioning of variables||||separation of variables|||
asnabrú|na|kvk|Eintala||||||||pons asinorum|||||||
algebrulegt varpvíðerni|na|hk|Eintala||||||||projective algebraic variety|||||||
almenn línuleg varpgrúpa|na|kvk|Eintala||||||||projective general linear group|||||||
annars stigs|ls||Eintala||||fernings-||||quadratic||||quadric|||
annars stigs ferill|na||Eintala||||ferningsferill|||conic section|quadratic curve||||quadric, quadric curve|||
annars stigs jafna|na||Eintala||||ferningsjafna||||quadratic equation||||quadratic, quadric|||
annars stigs sviðsútvíkkun|na||Eintala||||ferningssviðsútvíkkun, annars stigs sviðsvíkkun, ferningssviðsvíkkun||||quadratic field extension|||||||
annars stigs margliða|na||Eintala||||ferningsmargliða||||quadratic polynomial|||||||
annars stigs ferill|na||Eintala||||||||quadric|||||||
annars stigs jafna|na||Eintala||||ferningsjafna, annars stigs flötur||||quadric||||quadratic, quadratic equation|||
afsannanleiki|na|kk|Eintala||||hrekjanleiki||||refutability|||||||
afsannanlegur|ls|kk|Eintala||||hrekjanlegur||||refutable|||||||
afsönnun|na|kvk|Eintala||||hrakning||||refutation||||refutal|||
afsanna|sag||Eintala||||hrekja||||refute|||||||
aðhvarf|na|hk|Eintala||||||||regression|||||||
aðhvarfsgreining|na|kvk|Eintala||||||||regression analysis|||||||
aðhvarfsstuðull|na|kk|Eintala||||||||regression coefficient|||||||
aðhvarfsferill|na|kk|Eintala|||||||regression function, regression line|regression curve|||||||
aðhvarfsjafna|na|kvk|Eintala||||||||regression equation|||||||
aðhvarfsfall|na|hk|Eintala|||||||regression curve|regression function|||||||
afstæð samkvæmni|na|kvk|Eintala||||||||relative consistency|||||||
afstæð svipgrúpa|na|kvk|Eintala||||||||relative homology group|||||||
afstæði|na|hk|Eintala||||||||relativity|||||||
afgangsliður|na|kk|Eintala||||leif||||remainder term|||||||
afgangssetning|na|kvk|Eintala||||||||remainder theorem|||||||
afmáanleg ósamfelldni|||Eintala||||||||removable discontinuity|||||||
afmáanlegur sérstöðupunktur|na|kk|Eintala||||||||removable singularity||||removable singular point|||
afgangsfervik|na|hk|Eintala||||||||residual dispersion||||residual variance|||
afgangsskekkja|na|kvk|Eintala||||||||residual error|||||||
afgangsróf|na|hk|Eintala||||||||residual spectrum|||||||
alhæfingarregla|na|kvk|Eintala||||||||rule of generalization|||||||
annað meginform|na|hk|Eintala||||annað undirstöðuform||||second fundamental form|||||||
aukahornalína|na|kvk|Eintala||||||||secondary diagonal|||||||
aukahvirfilpunktur|na|kk|Eintala|||||||vertex|secondary vertex|||||||
annars stigs|ls||Eintala||||||||second-order|||||||
annarrar raðar|ls||Eintala||||||||second-order|||||||
annarrar stéttar|ls||Eintala||||||||second-order|||||||
annars stigs algebruflötur|na||Eintala||||||||second-order algebraic surface|||||||
aðskiljanleiki|na|kk|Eintala||||||||separability|||||||
aðskiljanlegur|ls|kk|Eintala||||||||separable|||||||
aðskiljanleg lokun|na|kvk|Eintala||||aðskiljanlegur hjúpur||||separable closure|||||||
aðskiljanleg jafna|ls|hk|Fleirtala||||||||separable equation|||||||
aðskiljanleg útvíkkun|na|kvk|Eintala||||aðskiljanleg víkkun||||separable extension|||||||
aðskiljanlegt net|na|hk|Eintala||||||||separable graph|||||||
aðskiljanleg margliða|na|kvk|Eintala||||||||separable polynomial|||||||
aðskiljanlega lokaður|||Eintala||||||||separably closed|||||||
aðskilja|sag||Eintala||||skilja að, greina á milli, aðgreina|||distinguish|separate|||||||
aðskilnaður|na|kk|Eintala||||||||separation|||||||
aukaskilyrði|na|hk|Fleirtala||||hliðarskilyrði||||side condition|||||||
andhermískur|ls||Eintala||Einnig ritað {\it skew-Hermitian}||||||skew-hermitian|||||||
andsamhverfur, oddhverfur|ls|kk|Eintala||||||||skew-symmetric||||skew-symmetrical, antisymmetric|||
algjörlega takmarkaður|ls|kk|Eintala||||algjörlega skorðaður||||totally bounded|||||||
algjörlega ósamanhangandi|na|kk|Eintala||||algjörlega ósamhangandi||||totally disconnected|||||||
andsamsíðungur|na|kk|Eintala||||ferhyrningur með engar hliðar samsíða||||trapezoid||||trapezium|||
augljós|ls|hk|Eintala||||||||trivial|||||||
augljóst bundin|||Eintala||||||||trivial bundle|||||||
